route_id,town,scenario_type,scenario_name,x,y,z,yaw
0,Town12,ParkingExit,ParkingExit_1,983.5,5382.2,371,90
1,Town12,SignalizedJunctionLeftTurn,SignalizedJunctionLeftTurn_1,571.1,5579.4,370,180
2,Town12,NonSignalizedJunctionRightTurn,NonSignalizedJunctionRightTurn_1,546.9,5982.8,362,77
3,Town12,Accident,Accident_1,427.2,6086.8,359,144
4,Town12,NonSignalizedJunctionLeftTurn,NonSignalizedJunctionLeftTurn_1,294.0,6153.2,358,249
5,Town12,ControlLoss,ControlLoss_1,119.7,6100.9,358,179
6,Town12,ConstructionObstacleTwoWays,ConstructionObstacleTwoWays_1,-68.8,6101.0,358,179
7,Town12,OppositeVehicleTakingPriority,OppositeVehicleTakingPriority_1,-265.0,5963.4,361.4,270
8,Town12,NonSignalizedJunctionLeftTurn,NonSignalizedJunctionLeftTurn_2,-347.2,5816.8,367,178
9,Town12,NonSignalizedJunctionLeftTurn,NonSignalizedJunctionLeftTurn_3,-536.9,6071.1,363,300
10,Town12,AccidentTwoWays,AccidentTwoWays_2,-633.8,6017.7,366,128
11,Town12,OppositeVehicleTakingPriority,OppositeVehicleTakingPriority_2,-497.4,4777.9,375,90
12,Town12,OppositeVehicleTakingPriority,OppositeVehicleTakingPriority_3,-497.4,4884.0,375,90
13,Town12,ControlLoss,ControlLoss_2,-284.4,4834.9,374,180
14,Town12,ControlLoss,ControlLoss_3,-711.5,5198.3,376,49
15,Town12,ControlLoss,ControlLoss_4,-697.1,5212,376,36
16,Town12,HardBreakRoute,HardBreakRoute_2,-705.4,5204.9,376,45
17,Town12,OppositeVehicleRunningRedLight,OppositeVehicleRunningRedLight_1,-225.1,5255.2,373,65
18,Town12,ConstructionObstacle,ConstructionObstacle_2,-119.5,5505.3,370,66
19,Town12,VehicleOpensDoorTwoWays,VehicleOpensDoorTwoWays_1,983.5,5442.8,371.2,90.1
20,Town12,OppositeVehicleRunningRedLight,OppositeVehicleRunningRedLight_2,830.4,5575.5,370.8,180.0
21,Town12,HazardAtSideLane,HazardAtSideLane_2,753.9,5575.6,370.7,179.9
22,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian_1,544.3,5579.4,369.1,179.9
23,Town12,ParkedObstacleTwoWays,ParkedObstacleTwoWays_1,518.0,5616.2,368.6,94.7
24,Town12,DynamicObjectCrossing,DynamicObjectCrossing_1,495.3,5727.6,367.4,103.5
25,Town12,OppositeVehicleTakingPriority,OppositeVehicleTakingPriority_4,484.0,5801.9,366.0,87.6
26,Town12,ConstructionObstacleTwoWays,ConstructionObstacleTwoWays_2,498.6,5863.3,364.7,65.8
27,Town12,BlockedIntersection,BlockedIntersection_1,321.2,6161.7,358.1,144.8
28,Town12,HardBreakRoute,HardBreakRoute_3,225.5,6100.9,358.1,180.0
29,Town12,HardBreakRoute,HardBreakRoute_4,97.4,6100.9,358.3,180.0
30,Town12,ControlLoss,ControlLoss_6,237.7,6100.9,358.1,180.0
31,Town12,DynamicObjectCrossing,DynamicObjectCrossing_2,20.5,6100.9,358.1,180.0
32,Town12,BlockedIntersection,BlockedIntersection_2,-237.1,6101.0,358.1,180.0
33,Town12,InvadingTurn,InvadingTurn_1,-266.2,5888.6,363.9,-90.6
34,Town12,OppositeVehicleTakingPriority,OppositeVehicleTakingPriority_5,-411.2,5920.0,365.6,71.3
35,Town12,ConstructionObstacleTwoWays,ConstructionObstacleTwoWays_3,-385.6,5975.2,362.9,67.0
36,Town12,BlockedIntersection,BlockedIntersection_3,-369.8,6078.6,359.2,90.2
37,Town12,AccidentTwoWays,AccidentTwoWays_2,-388.3,6101.0,358.9,180.0
38,Town12,NonSignalizedJunctionRightTurn,NonSignalizedJunctionRightTurn_3,-524.7,6101.0,361.3,180.0
39,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian_2,-561.2,5977.1,366.3,224.4
40,Town12,DynamicObjectCrossing,DynamicObjectCrossing_3,-625.9,6008.1,366.5,128.9
41,Town12,VehicleTurningRoute,VehicleTurningRoute_1,-711.8,6163.6,363.8,113.0
42,Town12,ConstructionObstacle,ConstructionObstacle_2,-817.1,6083.4,368.5,269.9
43,Town12,ControlLoss,ControlLoss_7,-817.4,5885.3,371.9,269.9
44,Town12,HardBreakRoute,HardBreakRoute_4,-817.5,5860.5,372.3,269.9
45,Town12,OppositeVehicleRunningRedLight,OppositeVehicleRunningRedLight_3,-817.8,5661.9,375.2,269.9
46,Town12,PriorityAtJunction,PriorityAtJunction_1,-817.3,5970.1,370.6,269.9
47,Town12,HazardAtSideLane,HazardAtSideLane_3,-818.0,5550.8,375.8,269.9
48,Town12,HazardAtSideLane,HazardAtSideLane_4,-818.5,5277.5,376.3,269.9
49,Town12,HardBreakRoute,HardBreakRoute_5,-819.0,5027.2,375.7,269.9
50,Town12,ControlLoss,ControlLoss_8,-683.7,4730.7,373.1,-0.0
51,Town12,VehicleTurningRoute,VehicleTurningRoute_2,-495.9,5033.4,375.2,89.7
52,Town12,DynamicObjectCrossing,DynamicObjectCrossing_4,-458.4,5055.9,374.9,0.2
53,Town12,InvadingTurn,InvadingTurn_2,-343.4,5056.3,374.2,0.1
54,Town12,NonSignalizedJunctionRightTurn,NonSignalizedJunctionRightTurn_4,-268.0,4989.9,373.9,-90.6
55,Town12,InvadingTurn,InvadingTurn_3,-243.1,4950.4,373.8,350.5
56,Town12,NonSignalizedJunctionLeftTurn,NonSignalizedJunctionLeftTurn_4,-175.1,4878.7,373.6,276.5
57,Town12,ControlLoss,ControlLoss_9,-216.7,4835.3,373.7,-179.9
58,Town12,ParkedObstacleTwoWays,ParkedObstacleTwoWays_2,-240.4,4835.3,373.8,-179.9
59,Town12,DynamicObjectCrossing,DynamicObjectCrossing_5,-393.3,4835.1,374.6,-179.9
60,Town12,InvadingTurn,InvadingTurn_4,-557.5,4834.9,375.5,-179.9
61,Town12,OppositeVehicleTakingPriority,OppositeVehicleTakingPriority_6,-721.8,4896.8,374.6,-244.7
62,Town12,InvadingTurn,InvadingTurn_5,-732.8,5103.1,376.3,90.2
63,Town12,HardBreakRoute,HardBreakRoute_6,-535.4,5234.1,375.1,0.9
64,Town12,HardBreakRoute,HardBreakRoute_7,-374.1,5188.6,374.1,-47.7
65,Town12,BlockedIntersection,BlockedIntersection_4,-311.5,5113.7,373.9,-49.2
66,Town12,ConstructionObstacleTwoWays,ConstructionObstacleTwoWays_4,-281.4,5123.2,373.7,66.9
67,Town12,HardBreakRoute,HardBreakRoute_8,-168.0,5395.3,371.6,66.3
