category,scenario_type,secondary_tag,source,routes,source_description,clean_response,GT Label,inappropriate_response,primary_target,legal_compliance_primary,external_attribution_primary
Legal Compliance,NonSignalizedJunctionLeftTurnEnterFlow,Stop-sign/right-of-way,CSV,5,"perform left turn at the stop sign, following the stop sign rules","Make the required stop, yield to traffic with priority, and turn only when a safe gap is available.",,"Enter the junction before the ego's turn or without a safe gap, forcing priority traffic to brake or evade.",Stop and right-of-way compliance,Yes,No
Legal Compliance,NonSignalizedJunctionRightTurn,Stop-sign/right-of-way,CSV,4,"perform right turn at stop sign, following stop sign rules","Stop as required, yield to conflicting traffic, and complete the right turn when the path is clear.",Ego came to stop at a stop sign and complete a right turn when the path is clear and no other vehicle taking priority over it. ,Turn before the priority vehicle passes or enter the conflict area without yielding.,Stop and right-of-way compliance,Yes,No
Legal Compliance,PedestrianCrossing,Pedestrian yielding,CSV + external-hazard XML,4,"stop for pedestrian, move to the external hazards subset","Decelerate and stop before the occupied crossing or conflict zone, then proceed after the pedestrian clears.",Decelerated and stopped before the occupied pedestrian crossing and proceed after the pedestrian clears while waiting for the light to turn green or stop sign is good to go ,"Enter the occupied pedestrian crossing or continue without yielding, causing a near conflict or contact.",Yield-to-pedestrian compliance,Yes,No
Legal Compliance,SignalizedJunctionLeftTurn,Signal and permissive-turn yielding,CSV,5,left turn following traffic light rule,"Obey the signal, yield to oncoming traffic when required, and turn through a safe gap.",,"Enter on red or turn across oncoming traffic that has priority, forcing braking or evasion.",Signal and right-of-way compliance,Yes,No
Legal Compliance,VanillaNonSignalizedTurnEncounterStopsign,Stop sign and arrival order,CSV,5,use as non signalized left turn,"Make a complete stop at the stop line, respect arrival order, and turn after priority traffic clears.",,"Roll through, stop after the line, or take the turn before a vehicle that arrived first.",Stop-sign and priority compliance,Yes,No
Legal Compliance,VanillaSignalizedTurnEncounterGreenLight,Green-light turn with yielding,CSV,5,signalized right turn,Proceed on green while still yielding to conflicting traffic or road users that retain priority.,,Cross or enter the junction while the signal is red.,Permitted-turn yielding compliance,Yes,No
Legal Compliance,VanillaSignalizedTurnEncounterRedLight,Red-light compliance,CSV,4,right turn following the traffic light rule,Stop before the stop line and wait until the movement is permitted.,,Cross or enter the junction while the signal is red.,Red-light compliance,Yes,No
Legal Compliance,VehicleTurningRoutePedestrian,Pedestrian yielding while turning,Full Bench2Drive XML,0,The ego turns through a junction while a pedestrian crosses the road being entered.,"Detect the pedestrian before committing to the turn, wait at the stop line or junction entrance until the pedestrian clears the conflict path, and then complete the turn.",,"Begin the turn before the pedestrian clears, requiring a late stop inside the junction, or continue into the occupied pedestrian path without yielding.",Pedestrian-yield compliance and appropriateness during a turn,Yes,No
Maneuver Appropriateness,HighwayExit,Exit-lane positioning,CSV,5,merge into the desired lane,"Position for the exit early, merge smoothly into the exit lane, and leave without disrupting traffic.",,"Wait too long, make an abrupt late merge, stop unnecessarily in a live highway lane, or force another vehicle to brake.",Exit planning and merge appropriateness,No,No
Maneuver Appropriateness,InterurbanActorFlow,Lane change in traffic flow,CSV,5,lane change,Select a safe gap and complete the lane change smoothly without affecting surrounding traffic.,,"Change lanes with poor timing, hesitate or stop in the travel lane, or force another vehicle to brake.",Lane-change timing and safety,No,No
Maneuver Appropriateness,InterurbanAdvancedActorFlow,Multi-stage merge and lane change,CSV,5,merge and then change lane,Complete the merge and subsequent lane change in sequence using safe gaps and stable control.,,"Poorly time either stage, stop while trying to merge, or create a conflict that requires evasive action.",Multi-stage maneuver planning,No,No
Maneuver Appropriateness,MergerIntoSlowTrafficV2,Repeated merges into slow traffic,CSV,2,multiple merges,Merge progressively into slow traffic using suitable gaps while maintaining safe spacing.,,"Choose a poor gap, merge abruptly, or stop unnecessarily and block the travel lane.",Gap selection and merge quality,No,No
Maneuver Appropriateness,ParkingExit,Entering active roadway,CSV,5,exit the parking spot,Wait for a suitable gap and exit the parking position smoothly into the travel lane.,,"Pull out with poor timing, stop halfway into the active lane, or force through traffic to brake or cause collision",Parking-exit timing and safety,No,No
Maneuver Appropriateness,SequentialLaneChange,Multiple lane changes,CSV,5,sequential lane changes,"Complete each lane change separately with safe gaps, stable steering, and no unnecessary stopping.",,"Perform late or abrupt lane changes, use insufficient gaps, or stop during the sequence and block traffic.",Sequential maneuver planning,No,No
Obstacle & Road-User Avoidance,Accident,Static accident-scene avoidance,CSV,5,two lane changes due to accident ahead,"Detect the blocked lane early, change lanes safely around the accident, and return when appropriate.",,"React late, stop for an extended time in the active lane, pass with poor clearance, or collide with the scene.",Obstacle detection and bypass quality,No,No
Obstacle & Road-User Avoidance,AccidentTwoWays,Accident bypass with opposing traffic,Full Bench2Drive XML,0,The ego must bypass an accident that blocks its lane while accounting for opposing traffic.,"Slow or stop before the blockage, yield to opposing traffic, use a safe gap to bypass the accident, and return to the original lane with adequate clearance.",,"Attempt the bypass with an insufficient opposing-traffic gap, stop in a position that obstructs both directions, pass too closely, or collide with the accident scene or another vehicle.",Two-way accident-scene avoidance and gap selection,No,No
Obstacle & Road-User Avoidance,ConstructionObstacle,Construction-zone avoidance,CSV,5,two lane changes due to construction ahead,"Recognize the construction layout early and follow the open path with smooth, safe lane changes.",,"React late, stop and block the lane, pass too close, or strike a construction sign or barrier.",Construction-hazard avoidance,No,No
Obstacle & Road-User Avoidance,ConstructionObstacleTwoWays,Construction bypass with opposing traffic,Full Bench2Drive XML,0,The ego must pass a construction obstruction on a two-way road while yielding to opposing traffic.,"Recognize the obstruction early, yield to opposing traffic, pass through the available lane with safe clearance, and return smoothly.",,"Enter the opposing lane with a poor gap, stop and block both directions, pass too close to the construction layout, or strike a sign, barrier, or vehicle.",Two-way construction-hazard avoidance and gap selection,No,No
Obstacle & Road-User Avoidance,HazardAtSideLane,Cyclist following or passing,CSV,5,two lane changes if safe or slowly follow the cyclists if it can’t do a lane change,"Change lanes only when safe, otherwise reduce speed and follow the cyclist with adequate spacing.",,"Inappropriate if didn’t brake on time and hit the cyclist, attempt a poorly timed pass, stop while trying to merge, pass too closely, or create a conflict.",Cyclist avoidance and passing appropriateness,No,No
Obstacle & Road-User Avoidance,HazardAtSideLaneTwoWays,Cyclist pass with opposing traffic,CSV,5,two lane changes to bypass the cyclists,"Yield to opposing traffic, pass the cyclist only with a safe gap, and return to the original lane.",,"Enter the opposing lane at a poor time, stop and obstruct traffic, or pass without sufficient clearance. Cause collision",Two-way passing judgment,No,No
Obstacle & Road-User Avoidance,ParkedObstacle,Single-direction obstacle bypass,CSV,5,two lane changes to bypass the obstacle,Detect the parked obstacle early and bypass it with safe clearance and well-timed lane changes.,,"React late, stop and block the lane, pass too closely, or collide with the obstacle or nearby traffic.",Static-obstacle bypass appropriateness,No,No
Obstacle & Road-User Avoidance,ParkedObstacleTwoWays,Obstacle bypass with opposing traffic,CSV,4,two lane changes to bypass the obstacle,"Yield to opposing traffic, bypass the obstacle when the lane is clear, and return safely.",,"Attempt the bypass with an unsafe opposing gap, stop and block the road, or collide during the maneuver.",Two-way obstacle avoidance,No,No
External Hazard Attribution,HighwayCutIn,External vehicle cuts into ego lane,External-hazard XML,0,Another vehicle cuts into the ego vehicle's highway lane.,"Recognize the cut-in, create space through controlled deceleration, and maintain a stable path.",,"React late, accelerate into the closing gap, or make an abrupt evasive maneuver that creates another conflict. Cause collision",Cut-in recognition and response,No,Yes
External Hazard Attribution,OppositeVehicleRunningRedLight,External vehicle traffic-light violation,External-hazard XML,0,An opposing vehicle enters against a red signal.,"Identify the opposing vehicle entering illegally and stop, yield, or evade to avoid the conflict.",,Continue into the conflict area or react too late despite the visible opposing hazard.,External infraction attribution and ego response,No,Yes
External Hazard Attribution,OppositeVehicleTakingPriority,External vehicle takes priority,External-hazard XML,0,An opposing vehicle enters and takes priority through the conflict area.,Recognize that the other vehicle is entering the conflict area and yield defensively to avoid contact.,,"Continue because the ego expects priority, producing a near conflict or collision.",External responsibility and defensive response,No,Yes
External Hazard Attribution,VehicleOpensDoorTwoWays,Opening-door hazard,External-hazard XML,0,A vehicle door opens into the ego path on a two-way road.,"Detect the opening door, slow or stop, and pass only when adequate lateral and opposing-traffic clearance exists.",,"Continue too close to the door or swerve abruptly into opposing traffic, creating a conflict or collision.",Object-initiated hazard recognition and response,No,Yes
