# route,RouteScenario_0_rep0_Town10HD_SignalizedJunctionRightTurn_Weather0_06_11_07_50_56
# scenario,SignalizedJunctionRightTurn
# completion_status,completed_degraded
# total_frames,669
# total_duration_s,66.9
# scenario_window_s,0.7–56.6

t_s,event_type,body
0.7,[ACTION],"went straight at constant speed for 0.5s | left lane | junction=no | vehicle 13.7m-ahead(same,19km/h) | vehicle 14.4m-ahead(same,16km/h) | vehicle 28.8m-behind(opp,15km/h) | vehicle 29.9m-ahead(opp,9km/h)"
1.3,[ACTION],"went straight at constant speed for 3.3s | left lane | junction=no | vehicle 7.2m-ahead(same,18km/h) | vehicle 11.0m-ahead(same,13km/h) | vehicle 24.4m-ahead(opp,2km/h) | vehicle 25.2m-ahead(opp,21km/h)"
4.7,[ACTION],"went straight at constant speed for 1.9s | left lane | junction=no | vehicle 4.6m-ahead(same,0km/h) | vehicle 10.0m-ahead(same,2km/h) | vehicle 13.0m-ahead(same,0km/h) | vehicle 20.4m-ahead(same,-0km/h) | vehicle 35.8m-ahead(opp,29km/h) | vehicle 36.7m-ahead(opp,0km/h)"
7.2,[ACTION],"went straight at constant speed for 0.9s | left lane | junction=no | vehicle 4.6m-ahead(same,11km/h) | vehicle 9.1m-behind(opp,29km/h) | vehicle 10.0m-ahead(same,0km/h) | vehicle 13.9m-behind(opp,28km/h) | vehicle 14.1m-ahead(same,3km/h) | vehicle 20.1m-ahead(same,0km/h) | vehicle 35.0m-behind(opp,16km/h) | vehicle 35.8m-ahead(opp,-0km/h) | vehicle 37.4m-behind(opp,17km/h)"
8.2,[ACTION],"went straight at constant speed for 0.5s | left lane | junction=no | vehicle 6.1m-ahead(same,18km/h) | vehicle 8.4m-behind(opp,29km/h) | vehicle 8.6m-ahead(same,16km/h) | vehicle 9.0m-behind(opp,29km/h) | vehicle 9.9m-ahead(same,0km/h) | vehicle 20.4m-ahead(same,1km/h) | vehicle 21.8m-behind(opp,29km/h) | vehicle 26.5m-behind(opp,31km/h) | vehicle 35.4m-ahead(opp,0km/h)"
8.8,[ACTION],"went straight at constant speed for 0.5s | left lane | junction=no | vehicle 4.3m-ahead(same,17km/h) | vehicle 10.0m-ahead(same,0km/h) | vehicle 12.0m-behind(opp,29km/h) | vehicle 13.4m-ahead(same,28km/h) | vehicle 15.5m-behind(opp,32km/h) | vehicle 17.1m-behind(opp,28km/h) | vehicle 18.6m-behind(opp,29km/h) | vehicle 20.3m-ahead(same,3km/h) | vehicle 35.2m-ahead(opp,0km/h) | vehicle 36.0m-behind(opp,15km/h) | vehicle 39.0m-behind(opp,11km/h)"
9.4,[ACTION],"went straight at constant speed for 6.6s | left lane | junction=no | vehicle 3.9m-behind(opp,29km/h) | vehicle 4.4m-ahead(same,15km/h) | vehicle 9.0m-behind(opp,29km/h) | vehicle 10.1m-ahead(same,0km/h) | vehicle 20.4m-ahead(same,-0km/h) | vehicle 22.5m-ahead(same,30km/h) | vehicle 24.3m-behind(opp,28km/h) | vehicle 28.4m-behind(same,29km/h) | vehicle 30.6m-behind(opp,18km/h) | vehicle 33.8m-behind(opp,16km/h) | vehicle 34.9m-ahead(opp,0km/h)"
18.1,[ACTION],"went straight while decelerating for 0.7s | left lane | junction=yes | vehicle 6.5m-behind(opp,29km/h) | vehicle 10.5m-behind(opp,29km/h) | vehicle 17.2m-ahead(same,-0km/h) | vehicle 19.9m-ahead(opp,20km/h) | vehicle 21.0m-behind(opp,28km/h) | vehicle 22.8m-behind(opp,24km/h) | vehicle 27.6m-ahead(same,0km/h) | vehicle 27.9m-behind(opp,18km/h) | vehicle 30.4m-behind(opp,19km/h) | vehicle 33.0m-ahead(opp,18km/h) | vehicle 33.5m-ahead(same,29km/h)"
18.8,[ACTION],"went straight at constant speed for 3.2s | left lane | junction=yes | vehicle 8.2m-behind(opp,29km/h) | vehicle 8.7m-behind(opp,29km/h) | vehicle 16.9m-ahead(opp,28km/h) | vehicle 18.8m-ahead(same,-0km/h) | vehicle 20.2m-behind(opp,14km/h) | vehicle 22.5m-behind(opp,16km/h) | vehicle 26.5m-ahead(opp,17km/h) | vehicle 29.1m-ahead(same,0km/h) | vehicle 33.0m-behind(opp,28km/h) | vehicle 35.1m-behind(opp,22km/h) | vehicle 35.3m-behind(opp,29km/h)"
22.0,[ACTION],"went straight while accelerating for 1.4s | left lane | junction=yes | vehicle 7.2m-behind(opp,29km/h) | vehicle 8.1m-behind(opp,28km/h) | vehicle 17.7m-behind(opp,19km/h) | vehicle 20.5m-ahead(same,0km/h) | vehicle 23.1m-behind(opp,15km/h) | vehicle 28.7m-ahead(opp,-0km/h) | vehicle 29.6m-behind(opp,30km/h) | vehicle 30.6m-behind(opp,29km/h) | vehicle 30.9m-ahead(same,0km/h) | vehicle 36.7m-ahead(same,30km/h) | vehicle 37.3m-behind(opp,24km/h) | vehicle 39.9m-ahead(opp,9km/h)"
23.4,[INFRACTION],ran_red_light | signal_state=red | phase=merging
